clave,valor,que es
tagline,"Conectamos conocimiento, transformamos educación","⚠️ REDACTADO POR RENOVATIO — no viene de ningún documento de RIBIE. Pendiente de validación"
hero_titulo,"Conectamos conocimiento,","⚠️ REDACTADO POR RENOVATIO. Primera línea del titular de portada"
hero_destacado,transformamos educación,"⚠️ REDACTADO POR RENOVATIO. Segunda línea del titular — se pinta en verde"
hero_entrada,"Creada en 1990 como área estratégica del programa CYTED, RIBIE reúne los esfuerzos de 21 países iberoamericanos para articular conocimiento crítico e innovador sobre la educación mediada por las tecnologías de la información y la comunicación.","Derivado de «Texto amplio_Qué es Ribie» y «Resumen» (RIBIE, 29 jul 2026). 36 palabras"
quienes_p1,"El reto de RIBIE es articular, producir y movilizar conocimiento crítico e innovador sobre la educación mediada por las tecnologías de la información y la comunicación (TIC), tanto análogas como digitales, para transformar los sistemas educativos en la región iberoamericana con criterios de equidad, calidad y pertinencia cultural, y en busca de una soberanía tecnológica.","LITERAL de «Resumen_Qué es Ribie» (RIBIE). 57 palabras"
quienes_p2,"A través de sus grupos de trabajo, RIBIE busca generar proyectos de cooperación multilateral para la innovación tecnológica en informática educativa que atiendan las necesidades de cada país participante, utilizando esta área como instrumento estratégico para el desarrollo educativo y social.","LITERAL de «Texto amplio_Qué es Ribie» (RIBIE). 41 palabras"
historia_p1,"La Red Iberoamericana de Informática Educativa nació en 1990 como una idea y un área estratégica del programa CYTED — Ciencia y Tecnología para el Desarrollo, integrado por organismos gubernamentales de los países de América Latina y la Península Ibérica. Bajo el Subprograma de Electrónica e Informática Aplicada, reúne los esfuerzos de 21 países integrantes para potenciar la identificación y el intercambio entre grupos de investigación y desarrollo en informática aplicada a la educación.","Casi literal de «Texto amplio_Qué es Ribie» (RIBIE). 73 palabras"
historia_p2,"En Colombia, RIBIE ha organizado quince congresos internacionales, quince foros de investigadores y quince convocatorias al Premio de Informática Educativa, que entre 1992 y 2018 se convocó junto al Ministerio de Educación Nacional en tres categorías: experiencias educativas, recursos educativos digitales e investigación.","Combina los dos documentos de RIBIE. 43 palabras"
cifra_anios,36,"1990 → 2026. Derivado, no afirmado por RIBIE"
cifra_paises,21,"⚠️ CONFIRMAR. «Texto amplio» dice «21 países integrantes». Es el número de integrantes del programa, no necesariamente de nodos activos hoy"
cifra_grupos,,"🔴 FALTA. No aparece en ningún documento entregado. Solo lo puede decir RIBIE"
cifra_instituciones,,"🔴 FALTA. No aparece en ningún documento entregado. Solo lo puede decir RIBIE"
contacto_correo,contacto@ribie.org,"Existe y funciona en Cloudflare Email Routing desde el 27 jul 2026"
contacto_ciudad,"Bogotá, Colombia","⚠️ CONFIRMAR con RIBIE cuál es la sede de la coordinación que se publica"
mostrar_marcas,sí,"CONTROL: mientras diga sí, el sitio avisa que el contenido es provisional. Poner no cuando RIBIE valide los textos Y estén las dos cifras que faltan"
