clave,valor,que es
tagline,"Conectamos conocimiento, transformamos educación","Frase corta bajo el logo (4-8 palabras)"
hero_titulo,"Conectamos conocimiento,","Primera línea del titular de portada"
hero_destacado,transformamos educación,"Segunda línea del titular — se pinta en verde"
hero_entrada,"Una red académica que desde 1990 reúne a investigadores, docentes e instituciones de Iberoamérica en torno a la informática aplicada a la educación.","Párrafo de entrada bajo el titular (30-45 palabras)"
quienes_p1,"RIBIE reúne a instituciones y grupos que desarrollan o aplican tecnologías de la información a la solución de problemas educativos, y a equipos dedicados a la investigación, el desarrollo y la innovación de tecnologías en la educación y la cultura.","Primer párrafo de «Quiénes somos»"
quienes_p2,"La red propicia la comunicación y la colaboración entre sus miembros alrededor de la gestión de proyectos, la formulación de políticas y el desarrollo de estrategias para el mejoramiento de la educación desde su perspectiva científica y tecnológica.","Segundo párrafo de «Quiénes somos»"
historia_p1,"RIBIE nació en 1990 en el marco del subprograma VII de Electrónica e Informática Aplicadas del CYTED, el Programa Iberoamericano de Cooperación en Ciencia y Tecnología para el Desarrollo, creado en 1984 por acuerdo de diecinueve países de América Latina, España y Portugal.","Primer párrafo de «Historia»"
historia_p2,"Desde entonces ha impulsado actividades científicas, cursos, talleres y proyectos de investigación y desarrollo que involucran a grupos de toda la región iberoamericana.","Segundo párrafo de «Historia»"
cifra_anios,36,"Años de trayectoria — VERIFICADO (fundación en 1990)"
cifra_paises,19,"Países — PROVISIONAL: son los 19 del CYTED que originaron la red, NO los miembros actuales"
cifra_grupos,15,"Grupos de investigación — PROVISIONAL: cifra de la documentación interna, sin confirmar"
cifra_instituciones,40,"Instituciones asociadas — PROVISIONAL: estimación de relleno, RIBIE debe reemplazarla"
contacto_correo,contacto@ribie.org,"Correo público del sitio — REAL, ya operativo en el Drive institucional"
contacto_ciudad,"Bogotá, Colombia","Ciudad que aparece en el pie"
mostrar_marcas,si,"«sí» mientras el contenido sea provisional · «no» cuando RIBIE apruebe todo"
