nombre_oficial,pais,sitio_web,logo,orden,estado
Universidad de Nariño,Colombia,https://www.udenar.edu.co/,,1,publicado
,Argentina,,,,por confirmar
,Bolivia,,,,por confirmar
,Brasil,,,,por confirmar
,Chile,,,,por confirmar
,Costa Rica,,,,por confirmar
,Cuba,,,,por confirmar
,Ecuador,,,,por confirmar
,El Salvador,,,,por confirmar
,España,,,,por confirmar
,Guatemala,,,,por confirmar
,Honduras,,,,por confirmar
,México,,,,por confirmar
,Nicaragua,,,,por confirmar
,Panamá,,,,por confirmar
,Paraguay,,,,por confirmar
,Perú,,,,por confirmar
,Portugal,,,,por confirmar
,República Dominicana,,,,por confirmar
,Uruguay,,,,por confirmar
,Venezuela,,,,por confirmar
